Product_1469,Product_79,Product_85,Product_56,Product_1313,Product_338,Product_1037,Product_1682,Product_2183,Product_106,Product_1586,Product_1641,Product_993,Product_1673,Product_1602,Product_2289,Product_326,Product_98,Product_2106,Product_461
3,2,6,2,2,3,2,2,5,1,2,1,2,2,1,1,3,1,7,3
4,1,4,1,2,3,2,6,16,1,0,6,2,5,0,3,2,2,15,0
4,1,6,2,0,3,2,3,2,0,0,1,0,1,0,3,2,0,3,1
2,1,0,0,0,3,0,6,1,0,0,2,0,1,0,4,4,0,3,2
0,2,2,0,3,5,2,0,6,0,0,1,1,0,0,4,1,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,5,2,4,2,1,2,6,2,1,4,7,0,2,5,8,1,6,1
3,2,5,5,0,6,0,3,11,1,0,4,3,2,0,5,3,1,8,0
0,1,2,0,0,1,0,1,1,1,0,1,2,2,1,1,2,0,5,0
1,0,1,0,0,1,0,2,2,0,0,4,0,0,0,1,5,0,2,0
2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,0,0,2,0,1,4,2,0,2,1,1,0,1,4,1,5,1
7,0,1,0,1,3,3,4,1,2,0,1,0,2,0,2,6,0,5,1
3,1,4,0,2,2,0,3,6,3,2,6,2,1,0,1,4,2,6,0
0,2,7,1,2,1,1,1,7,0,0,3,2,0,2,1,2,1,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,1,1,2,5,0,0,1,1,0,0,1,7,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,2,0,2,2,1,3,1,2,0,1,1,0,0,0,1,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,1,2,1,0,4,8,3,0,4,1,1,1,6,2,1,9,0
9,2,5,2,3,5,4,6,12,3,0,7,5,3,0,8,4,0,12,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,2,1,1,2,5,4,0,0,5,1,1,0,1,4,0,8,2
3,2,0,1,0,3,3,0,5,3,1,6,0,1,0,0,3,0,5,1
4,0,2,1,1,1,2,1,3,1,0,2,4,0,0,4,3,0,4,0
4,1,3,1,0,3,1,2,6,0,0,1,1,1,0,3,1,0,9,0
0,0,2,0,0,0,0,1,5,2,1,2,1,0,0,2,3,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,7,5,1,3,2,0,1,9,1,1,1,1,7,0,4,1
2,2,5,3,0,2,2,0,2,2,0,4,2,2,1,1,1,1,8,1
0,0,5,1,0,2,1,0,1,1,2,0,0,0,0,1,1,0,4,1
0,1,3,0,0,2,0,1,1,0,0,1,1,2,0,0,3,0,4,2
1,0,1,0,0,0,1,0,4,0,0,0,2,0,0,1,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,6,2,0,3,2,3,6,0,2,6,4,2,0,3,1,0,5,0
2,0,5,2,0,1,1,2,5,0,2,4,3,0,1,4,1,1,11,1
1,2,0,1,0,0,3,2,4,0,1,2,0,1,0,3,0,0,4,0
2,0,0,0,1,1,2,3,0,0,0,1,0,0,0,2,5,0,3,0
4,2,0,0,0,1,1,1,0,0,0,3,1,1,0,2,3,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,2,2,3,2,9,3,1,1,2,2,0,2,3,1,10,0
1,3,2,3,1,0,1,3,4,2,1,1,3,0,0,4,4,0,11,0
4,2,0,1,0,0,0,0,1,0,1,1,0,1,0,3,1,0,3,0
2,0,1,1,1,1,0,0,5,2,0,1,2,2,0,1,2,2,5,0
0,2,4,2,1,2,0,1,5,2,1,2,2,0,0,1,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,1,2,0,0,1,6,1,1,2,1,3,0,0,4,0,7,4
4,0,0,3,1,6,0,2,5,1,0,2,3,1,1,7,2,0,8,1
0,0,1,0,1,0,1,1,3,0,0,1,0,0,0,0,1,0,3,0
2,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,6,1
0,0,0,1,0,0,0,0,4,1,1,2,1,1,0,1,2,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,1,1,1,2,2,1,6,0,1,1,0,4,0,2,4,1,7,0
6,0,6,1,3,1,2,0,11,3,0,1,1,0,4,0,8,0,11,0
1,1,1,0,0,0,0,1,4,0,1,1,1,1,1,0,10,0,2,1
1,0,3,0,4,2,0,2,0,1,0,0,4,2,2,0,5,0,4,0
1,2,2,2,0,2,1,4,5,0,0,2,3,0,0,4,3,1,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,6,1,4,3,1,0,10,0,0,2,2,4,2,2,6,0,15,1
4,0,3,3,2,1,3,2,5,0,1,0,1,0,0,1,4,0,9,1
5,1,4,1,0,1,0,1,2,1,1,2,3,1,1,1,5,0,7,0
3,0,2,3,0,2,1,7,0,0,0,2,1,0,0,2,2,0,6,1
0,0,4,0,2,1,0,0,0,0,0,2,2,0,0,5,9,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,1,3,2,2,5,3,5,4,0,2,2,3,0,1,12,0,20,1
6,2,3,1,1,3,0,0,0,1,1,1,4,1,0,0,5,0,2,1
2,2,2,0,0,1,0,0,0,2,0,1,1,1,0,5,4,1,1,2
1,0,4,0,0,2,4,1,0,0,0,0,2,0,0,1,2,1,3,0
2,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,3,0,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,3,0,0,0,3,1,2,0,0,0,2,4,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,3,3,2,0,1,0,0,0,2,0,3,0,3,3,1,9,2
0,3,1,0,0,3,0,0,2,1,0,1,1,1,0,1,0,0,5,0
2,1,2,2,1,3,0,0,0,1,0,1,2,0,0,0,0,1,2,0
1,1,1,1,0,3,0,1,0,2,0,1,1,0,1,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,8,1,1,3,2,0,2,0,0,3,1,5,2,3,7,0,6,1
2,1,4,2,2,3,0,0,3,2,0,2,3,6,0,2,5,2,9,1
4,1,1,2,0,1,2,0,0,0,0,0,2,0,0,1,1,0,1,0
1,2,4,2,1,2,0,0,1,0,0,0,0,2,0,3,2,0,4,0
3,0,0,3,0,1,0,1,0,0,0,0,0,1,1,0,2,0,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,4,3,1,3,4,2,7,0,0,1,1,2,2,2,2,1,11,1
3,0,1,1,6,4,3,1,0,0,0,2,2,3,0,5,2,0,7,0
3,0,4,2,1,3,1,2,2,0,0,0,0,0,0,1,7,0,3,2
1,0,1,1,3,2,1,1,2,0,0,2,1,1,0,7,3,1,4,0
2,0,0,0,1,4,0,1,1,0,0,1,0,0,0,0,1,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,4,2,2,3,1,2,1,1,0,1,2,4,0,0,7,0,13,1
6,1,1,3,3,3,4,2,4,1,1,4,3,3,0,1,5,0,5,1
1,0,2,0,4,3,0,0,4,0,0,0,0,0,0,1,2,0,5,0
1,0,2,1,0,2,0,2,0,0,0,1,2,1,0,0,1,1,6,0
2,0,0,1,0,2,0,0,1,0,0,2,1,2,0,6,1,0,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,0,0,3,1,1,0,0,0,3,0,0,0,2,2,0,9,0
3,0,3,1,0,0,1,0,1,0,0,4,3,0,3,0,2,1,3,0
2,2,2,1,2,2,0,0,1,0,0,0,0,0,0,1,1,1,4,0
3,1,3,0,1,1,0,1,1,0,0,0,4,0,0,2,1,0,4,0
1,1,2,1,0,0,0,2,0,0,0,1,3,1,0,3,2,0,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,0,7,0,2,1,1,0,5,2,0,0,0,8,0,5,2
2,0,4,1,2,0,1,0,3,0,0,1,1,1,0,0,7,0,8,0
3,0,0,0,2,1,2,0,2,0,0,0,1,2,0,2,4,0,3,1
0,0,1,1,0,2,0,1,0,0,0,1,1,0,2,2,6,0,5,2
0,0,1,2,2,2,0,3,0,1,1,2,2,1,0,1,4,0,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,1,4,0,2,1,0,0,2,2,2,0,6,5,1,7,1
1,2,2,2,2,3,2,1,1,0,0,2,0,3,0,4,7,1,9,0
3,0,1,1,0,3,1,0,1,1,0,4,1,2,0,0,4,0,7,0
1,2,1,1,0,4,1,0,0,0,0,0,1,0,0,0,0,1,3,0
2,0,1,1,1,0,0,0,3,0,0,0,1,1,0,0,3,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4,2,2,4,1,0,0,3,0,4,0,3,1,4,5,0,8,0
2,1,3,0,1,0,0,0,0,1,0,1,2,0,0,0,2,1,6,1
2,1,1,0,2,0,1,1,1,0,0,1,2,0,0,1,4,1,6,1
7,0,6,1,0,2,0,1,3,0,1,1,2,1,0,1,3,0,1,0
1,3,2,1,0,3,0,1,0,1,1,2,0,1,0,1,3,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,2,2,0,1,0,0,1,0,1,1,1,4,0,8,1
4,2,7,0,2,2,1,0,5,5,0,0,1,0,0,3,10,1,6,1
1,1,0,0,0,0,3,1,0,0,0,1,1,1,1,1,1,0,2,0
0,0,1,1,0,1,0,0,1,1,0,2,0,0,0,1,3,1,1,0
3,1,1,2,0,3,2,1,1,1,0,1,2,2,0,0,2,0,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,5,2,2,3,2,0,2,1,1,0,1,3,1,7,6,1,5,0
7,2,7,2,0,3,1,0,3,1,1,2,1,0,0,1,8,1,5,1
5,0,2,2,0,6,0,1,0,2,0,2,0,0,1,1,5,1,5,1
3,0,3,1,0,1,0,1,0,0,1,0,1,4,0,0,6,0,3,0
2,4,3,2,2,3,1,0,5,0,1,5,2,0,0,1,2,0,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,11,2,1,13,0,1,24,0,2,9,4,0,5,11,0,2,27,0
6,2,6,1,5,2,1,0,5,0,0,0,2,0,0,5,0,1,6,0
3,0,6,1,1,0,0,1,3,0,2,0,0,0,0,2,1,0,7,1
2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,2,1,0,2,0
2,1,2,1,0,2,1,2,2,1,0,1,2,0,1,1,9,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,9,2,0,7,1,3,3,4,0,4,2,0,0,5,5,2,9,2
5,1,6,2,0,2,2,1,0,1,0,7,3,0,0,2,6,3,9,1
0,2,4,0,2,4,0,2,0,0,0,2,2,0,2,5,5,0,2,2
4,1,2,0,0,2,5,3,0,0,1,2,2,0,1,0,0,0,3,2
2,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,7,5,7,4,1,2,0,0,2,6,1,4,3,1,0,1,13,1
1,0,4,2,4,7,0,0,0,0,1,5,3,3,0,6,0,2,13,0
2,0,4,1,2,1,2,1,0,0,0,3,0,3,0,2,1,0,6,0
2,0,2,1,1,3,0,1,0,0,0,5,0,4,0,4,9,0,13,0
0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,3,2,6,1,1,4,1,1,0,0,0,2,0,3,2,0,3,0
0,0,0,4,0,3,3,0,0,0,0,0,1,1,0,0,3,0,11,0
10,0,6,0,0,7,2,2,5,2,0,1,1,1,0,5,5,0,20,0
1,0,3,2,0,2,2,3,2,1,0,1,2,1,2,4,2,0,3,0
1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,4,0,7,0
4,0,1,1,2,0,1,3,0,0,0,3,0,0,1,2,3,0,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,3,0,0,6,2,0,1,0,0,5,3,2,2,1,1,2,6,2
2,0,4,3,1,5,3,2,4,1,1,0,3,5,0,6,0,2,17,0
4,1,5,2,0,4,0,0,1,0,1,0,6,4,1,5,0,0,11,0
2,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,7,0
0,0,1,1,2,0,3,0,0,0,0,0,1,1,0,0,0,2,4,1
5,1,0,2,0,0,3,1,4,2,1,0,0,1,0,5,1,0,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,2,1,0,0,0,1,0,0,2,2,0,1,2,0,2,18,0
2,3,1,3,1,0,2,2,5,1,0,0,2,2,0,1,0,0,8,1
0,3,1,0,2,0,1,2,0,0,0,1,0,2,1,3,0,0,10,0
3,0,1,1,2,0,0,0,4,0,1,1,1,0,0,1,7,0,6,0
1,0,1,1,0,1,1,2,0,0,1,0,1,1,0,0,0,1,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4,0,3,3,2,2,4,0,0,8,2,6,3,4,12,0,23,0
2,0,4,1,1,7,1,1,3,2,0,3,1,0,0,1,5,1,10,1
2,0,4,0,0,0,0,0,2,0,0,0,0,3,0,1,2,0,2,0
0,0,1,1,1,1,3,1,3,0,0,3,2,1,0,0,3,0,4,0
0,0,4,1,1,0,0,0,3,1,0,3,1,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,3,6,4,1,0,6,1,2,3,1,3,1,2,11,0,10,2
2,0,0,0,0,2,0,0,1,4,1,2,1,2,0,0,4,0,2,2
1,0,1,1,3,6,1,0,0,0,0,1,2,2,0,2,4,0,5,0
4,0,0,0,0,2,1,0,3,2,0,3,2,0,0,2,4,0,5,0
0,0,3,1,4,1,1,5,3,0,0,1,2,2,0,1,4,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,2,1,1,0,2,5,1,3,1,2,8,1,8,2
5,0,4,1,2,3,0,1,3,0,0,6,2,3,1,0,9,3,11,1
2,0,2,0,1,3,1,0,3,0,0,1,3,1,0,1,3,2,2,1
3,1,2,1,0,1,0,0,0,0,0,2,2,0,0,0,2,0,2,0
1,1,2,0,0,2,1,0,1,0,0,2,2,0,1,2,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,4,1,0,0,3,1,0,2,1,3,0,1,2,0,10,1
6,0,1,0,1,1,0,0,0,2,1,2,1,0,0,0,8,0,9,0
0,0,2,1,1,0,0,2,3,0,0,3,1,2,0,0,3,0,4,0
2,0,3,0,0,1,0,3,2,3,0,0,3,1,0,1,1,0,3,0
0,0,0,1,1,2,0,0,0,1,1,1,0,0,1,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
