Product_1469,Product_79,Product_85,Product_56,Product_1313,Product_338,Product_1037,Product_1682,Product_2183,Product_106,Product_1586,Product_1641,Product_993,Product_1673,Product_1602,Product_2289,Product_326,Product_98,Product_2106,Product_461
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,0,3,1,1,1,0,0,0,6,0,2,1,1,8,0,12,1
7,0,6,3,2,1,2,0,4,1,0,2,3,6,1,1,12,0,11,0
2,1,4,0,0,0,0,0,2,1,0,4,0,2,0,0,3,0,5,1
2,2,1,0,0,1,2,0,0,0,0,1,2,1,0,1,5,0,4,0
1,1,2,0,0,6,1,0,2,0,1,2,0,1,0,2,0,1,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,0,6,2,2,0,6,2,0,9,3,2,0,3,5,1,9,0
6,3,0,0,0,3,5,1,3,1,0,5,4,2,0,2,8,0,12,2
1,1,0,0,0,1,0,0,2,0,0,2,3,1,0,2,5,0,9,0
1,0,2,0,0,2,1,0,1,0,1,5,2,1,0,4,5,0,8,0
1,2,0,0,0,3,0,0,1,1,0,0,0,0,0,3,5,1,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,2,1,7,2,2,3,0,0,6,3,0,0,4,14,0,19,1
4,1,2,1,3,1,1,0,1,0,0,6,1,1,0,1,2,0,4,0
5,1,3,3,0,2,1,0,0,0,0,2,0,4,0,6,1,0,4,0
1,0,2,1,0,2,0,0,3,1,0,3,1,3,1,0,0,0,4,0
4,1,1,0,0,4,1,0,0,1,0,0,1,0,0,1,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,4,3,2,4,0,1,6,0,1,1,6,8,0,5,9,0,10,0
1,0,3,0,0,2,1,0,9,0,0,1,1,1,0,2,5,0,5,1
0,1,1,1,1,2,4,0,1,0,0,0,3,2,0,0,1,0,11,0
3,2,1,0,0,0,0,0,1,1,0,2,0,1,0,3,3,0,6,0
0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,1,5,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,0,1,4,0,1,0,3,1,3,1,1,0,2,5,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,4,0,1,1,3,2,0,0,1,7,1,0,1,3,5,2,13,1
1,1,0,1,0,3,1,0,1,1,0,1,1,0,0,3,1,0,9,1
3,3,1,0,4,4,0,0,3,2,0,3,4,1,0,2,2,0,4,0
1,0,2,0,0,0,1,2,2,0,0,0,0,0,0,2,1,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,6,0,2,1,2,0,2,0,0,4,2,1,0,3,9,0,14,2
2,1,3,0,0,2,0,1,2,1,0,2,0,1,1,0,3,0,4,1
2,1,1,0,0,1,0,0,1,0,0,2,3,0,0,0,2,0,5,0
2,0,3,1,0,1,0,0,2,0,0,0,2,1,1,1,2,1,2,0
0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,3,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,4,0,1,5,3,0,1,1,0,6,5,2,1,2,11,0,8,1
1,1,2,1,1,3,0,2,1,2,0,0,2,0,0,0,0,1,11,0
3,1,5,0,0,1,0,0,2,0,0,1,0,0,1,4,6,1,6,1
3,0,2,1,0,0,0,0,0,0,0,1,2,0,0,1,3,1,4,0
0,0,1,0,0,0,0,1,3,1,0,2,2,1,1,0,6,1,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,6,1,3,3,0,1,4,1,1,3,2,4,1,2,11,0,14,0
2,1,3,1,0,4,1,0,1,0,0,2,1,0,1,0,3,0,2,0
3,1,0,2,3,0,1,0,0,1,0,2,2,1,1,1,3,0,4,0
1,1,2,0,1,2,1,0,0,1,0,2,0,0,0,0,3,2,8,0
7,1,2,0,2,1,0,1,2,0,0,0,0,2,0,1,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,2,0,0,4,3,0,3,0,0,3,1,1,0,3,9,1,15,1
2,0,1,1,0,1,0,2,1,0,0,2,3,0,1,0,5,0,6,1
2,1,2,0,2,3,0,1,1,1,1,1,2,1,0,2,1,0,11,0
1,0,2,0,0,2,0,0,0,1,1,1,1,3,0,0,6,0,0,0
1,1,0,0,0,2,1,0,0,0,1,1,1,2,0,2,2,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,0,1,2,1,0,1,1,1,0,0,0,0,5,2,9,0
3,0,2,2,1,2,1,2,1,1,0,4,0,3,0,2,10,2,6,0
2,0,0,0,0,1,0,0,0,0,1,5,0,3,0,2,6,0,6,0
1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,2,0,3,0
3,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0
1,1,0,0,1,0,1,0,3,3,0,1,0,0,0,1,1,0,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,4,4,1,0,2,1,0,2,2,1,0,5,5,0,6,1
0,1,4,1,0,1,1,0,1,0,0,0,2,3,0,4,2,1,5,1
1,2,2,0,0,2,0,0,0,0,0,2,2,1,0,2,4,0,2,1
4,1,1,0,0,0,1,0,1,0,0,2,3,0,0,0,1,1,4,1
1,1,2,0,1,0,0,0,2,0,0,1,3,0,0,1,5,0,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,2,0,2,2,2,4,0,0,7,3,0,0,1,5,1,6,1
1,1,2,0,0,0,1,0,2,0,0,0,1,1,0,1,2,0,8,1
2,1,1,1,1,1,0,1,4,0,0,2,2,1,0,0,1,0,2,0
1,0,0,0,1,2,0,0,0,1,2,0,3,1,0,2,3,0,10,0
2,0,3,0,0,2,2,0,0,1,0,1,0,0,0,0,3,0,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,2,2,1,4,0,0,4,4,1,1,4,6,0,8,0
3,1,2,1,0,3,0,0,2,1,0,3,1,1,0,0,6,0,6,0
3,0,2,1,0,0,0,0,1,0,1,2,1,1,0,0,1,0,6,1
2,1,0,0,0,0,0,0,2,1,0,0,2,0,1,4,2,1,3,1
5,1,3,2,0,0,0,1,3,0,0,1,0,2,0,2,2,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,1,1,2,1,0,2,0,1,2,4,3,1,1,11,1,17,1
4,0,2,0,0,1,1,0,2,2,0,0,2,1,0,4,2,1,4,0
1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0
1,4,0,0,0,0,1,0,1,2,0,1,2,1,0,0,4,0,6,0
12,0,4,0,0,1,2,0,0,1,0,0,2,0,0,0,1,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,0,1,7,0,0,4,4,0,0,2,11,0,5,0
10,1,0,2,0,1,1,0,1,0,0,3,1,2,0,1,4,1,4,1
1,0,0,1,1,0,1,2,0,0,1,0,7,0,0,0,5,0,7,0
1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,4,0,1,1
2,1,0,1,3,3,1,0,1,1,0,1,1,0,0,1,5,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,5,0,3,2,0,0,1,0,0,1,2,1,0,1,5,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,1,3,5,2,0,4,2,0,0,2,2,1,0,9,0,2,3
3,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,3,0
4,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,1,7,0
1,0,2,2,1,3,1,0,0,2,0,0,2,0,0,0,3,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,1,0,0,0,2,0,0,0,2,3,0,0,11,4,0,10,2
1,2,2,0,2,2,1,0,0,1,0,3,1,0,0,2,9,0,6,2
4,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,8,0,3,0
2,0,3,0,0,0,0,0,0,1,0,1,1,0,0,1,5,0,5,0
4,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1,2,1,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,1,0,3,0,0,3,0,0,0,1,0,1,0,6,0,8,0
3,0,2,0,1,2,0,1,1,0,0,1,2,1,0,3,5,0,5,0
4,4,0,0,1,4,0,1,0,0,1,1,1,0,0,2,1,0,3,0
4,2,1,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,3,0
2,0,0,3,2,1,1,1,2,0,0,1,0,2,1,0,2,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,3,0,4,4,1,0,3,1,1,4,1,0,0,1,5,1,4,3
2,1,5,0,3,8,1,0,1,1,1,0,1,1,1,0,7,0,4,1
1,1,1,2,2,5,0,0,1,1,0,0,1,0,1,1,3,1,4,1
3,0,0,0,1,0,0,0,7,1,0,2,1,0,0,0,2,0,4,0
2,1,1,0,0,2,0,0,3,0,1,0,1,2,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,3,0,0,4,2,0,1,0,0,3,0,1,1,3,6,0,7,1
2,0,2,0,1,1,3,0,1,0,1,1,2,1,2,1,5,1,9,2
1,0,0,0,3,1,0,0,0,1,2,3,0,2,0,0,4,0,3,1
1,0,2,1,0,3,1,0,4,0,0,0,4,1,0,0,3,0,2,1
5,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,6,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,0,1,1,1,0,3,1,0,1,0,2,0,0,3,0,7,0
1,1,5,0,0,2,2,0,0,0,0,9,1,2,0,0,1,0,4,1
1,0,2,0,0,2,0,0,1,0,0,1,5,0,0,2,3,0,5,0
1,0,1,0,2,4,0,0,4,0,0,1,1,1,0,0,0,0,3,1
1,0,3,0,0,3,0,0,1,0,1,2,2,0,0,1,2,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,2,0,0,2,2,2,0,0,1,4,5,0,0,0,6,0,12,0
6,2,5,2,0,5,0,1,3,4,1,1,3,1,1,0,4,1,3,2
2,1,2,1,2,2,0,1,0,0,0,1,2,1,0,0,1,1,8,0
2,2,0,0,0,3,0,0,2,0,0,1,0,1,0,1,2,1,1,1
2,0,2,1,0,1,1,2,3,0,1,2,0,2,0,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,7,2,5,8,4,0,11,0,2,6,4,3,1,2,23,0,15,1
0,0,1,0,1,5,0,0,0,0,0,1,0,0,0,5,3,1,2,0
0,0,3,0,1,2,1,0,0,0,1,1,1,1,1,0,12,1,2,1
0,2,1,0,1,2,2,1,1,0,0,2,1,1,0,1,8,0,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,7,1,4,0,5,4,1,9,7,5,1,6,20,0,14,0
0,1,4,0,0,2,0,0,1,1,0,2,0,0,0,1,4,2,3,1
1,0,3,1,0,1,1,0,0,1,0,0,0,0,1,0,2,0,8,0
1,2,3,0,1,2,0,0,2,0,0,1,1,0,0,0,4,0,4,0
4,0,1,0,0,3,0,0,1,0,1,3,0,0,0,3,3,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,1,4,0,2,1,0,1,6,3,0,0,1,3,3,9,1
3,2,6,1,8,3,0,0,2,0,1,5,2,0,0,2,6,0,4,0
2,3,2,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,1,0
3,3,2,1,0,0,0,0,3,2,0,5,3,3,0,0,4,0,1,1
2,1,0,1,1,0,2,0,0,0,0,0,3,1,2,1,4,1,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,1,2,6,4,2,2,0,1,3,2,1,0,5,3,2,10,0
0,3,4,0,3,3,1,0,1,2,0,6,2,4,0,3,4,0,3,0
0,1,2,0,1,1,1,0,1,1,0,0,0,1,0,1,4,0,2,0
2,2,0,0,0,3,1,0,3,1,0,1,0,3,0,2,1,0,3,0
2,0,2,0,6,1,0,0,0,0,0,2,0,3,0,1,7,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,5,0,0,1,0,0,1,3,0,3,3,1,2,1,6,0,9,1
1,1,2,1,0,0,0,0,2,0,0,2,0,0,0,1,1,0,3,1
1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,3,0
1,5,1,0,4,2,1,0,3,0,0,4,3,0,0,4,4,1,4,1
3,6,2,0,2,2,0,0,0,1,2,3,2,3,0,0,1,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,3,1,3,2,1,0,6,0,1,9,1,2,1,4,11,1,7,0
2,2,2,0,1,5,0,0,5,0,1,2,2,2,0,1,9,2,12,0
3,0,2,0,3,1,0,0,2,0,0,2,2,4,0,1,4,0,1,2
4,3,0,0,0,2,1,0,7,0,0,2,3,4,1,0,7,0,3,1
0,2,0,0,0,4,0,0,3,0,0,1,1,1,0,2,2,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,1,1,3,2,0,5,1,1,0,4,6,1,1,4,11,0,5,2
2,1,3,0,0,3,1,0,1,0,0,3,4,0,1,2,6,0,10,1
2,0,2,0,2,2,0,0,0,0,0,0,3,3,2,1,5,0,3,0
3,3,0,0,0,3,0,0,0,0,0,2,5,1,0,2,6,0,3,0
6,8,2,0,0,0,2,0,0,0,0,2,4,4,2,0,6,0,8,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,3,1,0,5,0,1,2,1,0,3,8,1,0,2,5,0,9,1
1,4,2,0,0,1,1,1,2,0,1,5,0,0,0,0,2,0,2,2
2,7,0,0,1,2,0,0,0,2,0,1,3,0,0,0,3,0,1,0
1,2,3,2,3,1,0,0,0,3,0,6,1,0,0,0,5,0,3,2
1,5,2,0,1,1,0,0,1,3,0,4,2,0,0,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,4,2,1,2,0,0,0,6,0,5,1,6,0,0,9,0,8,1
2,4,0,2,0,2,1,1,0,3,0,2,0,2,0,0,2,0,3,0
0,5,2,0,0,1,0,0,0,1,0,2,1,2,1,3,2,0,1,1
0,6,2,0,2,3,0,1,1,3,0,2,1,1,0,0,3,0,5,1
2,2,1,0,0,1,0,0,3,4,0,1,0,0,1,0,1,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,1,4,3,0,3,4,3,0,4,2,1,0,0,5,1,7,0
1,15,3,0,1,4,0,0,1,4,2,3,4,3,0,1,8,0,1,0
0,5,0,1,0,1,0,0,1,2,0,1,1,2,0,0,3,2,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,2,4,0,0,0,2,0,3,2,0,0,0,1,1,1,2
2,0,1,0,0,0,0,0,1,3,0,1,1,0,1,3,3,1,1,0
